review_title,review_body,rating,review_date
one time watch.... if that,"I just returned from watching this movie. I was curious to see how it would compare to the original movie. The move followed the original fairly well, with a few exceptions. The cube kills were fairly uneventful. This day and age I expected something better. There was an odd sub story that detracted from the suspense of the cube and felt a little out of place The acting was below average...Give it a watch but the originals were better.",4,23 October 2021
A shadow of the original. Not very good.,"So the Japanese tried to remake the classic survival horror movie ""Cube"". They did a poor job of it. Not only are the characters annoying as hell, but they introduced some psychic connection with the cube and an occupant that was idiotic. Aside from the lack of interesting trap rooms, coherent characters and wired psychic reaction within the cube, there is really nothing worthwhile in this poorly conceived remake. If you are curious still, then give it a watch. I don't recommend this for fans of the original film. Until this stupid review character requirement is lifted you all will have to spend your time reading bloated reviews with no substance because we have to fill the last part of the review with this nonsense just to get it submitted now. We all need a new rating website. This one has gone in the dump.",3,7 September 2022
Numbism,"Back then, the first Cube movie was epic, exciting and a fine surprise, this remake is redundant and adds nothing really good or new to the original one. In every aspect inferior, well, the share of drama is big sized. Next.",3,15 March 2022
I didn't expect any remake could be THIS bad,,2,20 July 2022
Totally unnecessary remake,"Well, I could write a long review about it, but the review title I've put up there says it all. So how I could reach 150 characters when there is really nothing else to say about that...",1,3 December 2021
Fails to improve on the original,"There's really no reason to see this film if you've seen the original. It's mostly the same plot, same mystery, and the same utterly unsatisfying ending that doesn't answer a single question you might have.",4,15 March 2022
TERRIBLE TERRIBLE TERRIBLE TERRIBLE MOVIE!,"Let me start with this, Im adept to the Asian side or J horror side of movie production. I understand the long pondering looks the phrases or scenes that don't seem to make sense at the time but all done together at the end for a satisfying wtf moment that come only with superb narrative good visuals excellent storytelling.. Definitely not here! Can't give an Xtra star for the visual because the 97 version was just as striking and most likely cost less to make with little to no CGI? The filmmaker tried to invoke a life lesson but failed to make a good movie. Backstory on wrong character no story on strongest character this movie was All over the place! Some say it was better than later Cube additions I the series yes possibly, but this is labeled a remake. I was very excited seeing asian characters ready for an amazing take on this well known story among sci-fi horror fans.... So disappointed I believe it was green lit to grab the squid game crowd..even down to the greenish garment.... Lastly for those who liked it great!! But do yourself a favor seek out the 1997 version and you'll get a better understanding of my dissatisfaction plus see an awesome movie to boot!",1,25 April 2022
If It's Not Broken,,4,14 March 2022
"Cube, as good as it ever was","This one is more of a ""Mystery, Drama"" as opposed to Cube (1997)'s ""Psychological Thriller"" status. These Cube films are all over the place in terms of genre and tone, so that's not a bad thing at all. I like the variety this franchise holds while somehow being as formulaic and repetitive as a Scooby-Doo film.

It also repeats a lot of the plot beats from the Cube (1997) film, that this is technically based on. The film has different characters that are different character archetypes than the original film too, which was nice to see. The characters rely less on their archetypes and more on their emotions, which made for an investing and riveting drama. This film stands alone and sets itself apart by changing so much about the characters, while keeping most of the plot beats of the original.

It's also almost 25 years after the original film's release, and VFX have advanced a lot since then. This film is able to fully replicate and in some places even surpass the effects of the original film. The gore is almost non-existent in this one, but the more mysterious and dramatic tone didn't leave me longing for gore. The cutaways to a CGI cube graphic was really annoying, but it added to the mystery, and it payed off, so i can't complain. This might actually have the most satisfying ending of any Cube franchise film, even though it leaves you on such a great hook for a sequel. One of my biggest gripes is these films' inconsistency with continuity and technology. I really hope this film gets a sequel directly following this film and is able to tie up its loose ends completely satisfactorily, for the first time in Cube (1997) history.

Keep in mind that i am an official member of the Cube (1997) appreciation society, so you should know i like me some Cube franchise media. I really enjoyed this film, but I don't think any of this Cube sequels surpass 3 stars.

Anyways, if you have a way to watch this, you should. It's a Cube film, you know what you're getting into.",6,17 June 2023
Waste of 90 minutes,"Being a fan of the original cube series, I expected this remake to add a bit more to the story or at least have some good twists and better effects. This is basically the same movie as the original cube with worse effects.",2,28 February 2022
"Don't expect it to copy the original. And no, it is not like the original.","For some reason reviewers on this site are adamant on remakes being ""faithful"" to the original. They want crazy CGI and super scary horror scenes (not that the original was scary at all... can we talk about that? People complain that the remake doesn't fit the horror genre when the original wasn't in the first place), but unfortunately for them, this movie doesn't deliver on that. It does, however, deliver on other fronts that actually make the movie a worthwhile watch, like more drama, better character development, a more interesting ending, etc. What bothers me the most is that people complain about the introduction of backstory that occurs outside the Cube when all it does is give more insight on a character's motivation. There was never a ""magic"" of only seeing the Cube in the first place, so don't pretend like it mattered.",8,2 January 2023
better than a 4.6,"This movie, although not better than the original, does deserve more than a 4.6 in my opinion. It has decent drama in terms of psychology, but the logic is sloppy or questionable at most.",6,14 March 2022
adds nothing,"I guess Japanese like the Drama, but its boring for us. No point for everything that happens, its not interesting, its like a normal movie not a cube one.",5,15 March 2022
Why? Just why?,"I'm a huge fan of the original cube, the idea I thought was epic. Bit less of the 2nd and cube zero but that's arguable. But this...is an abomination. Remake are lame but we reached a new low.

Character utterly stupid with cheap drama backstory that bring absolutely nothing to the story.

They could at least give us some good CGI and interesting trap (the main point of the film btw) but that was disappointing also

What's next? A Saw remake where the two people chained in the bathroom fall in love?",1,27 March 2022
Laaaaaaaame,"Such a poor remake! Nothing makes sense, not the puzzles, not the characters, not even the gory moments... Such a waste of time. I watch it until the end just to write this review and let you know that there isn't a good scene/sequence in the whole movie.

One dialogue before the final one is the only thing that have a little bit coherence to me... Besides that, the rest of the movie is pure bad acting, over stressed dialogues, not even the visuals within the Cube make sense. Can't imagine why the director got interested in doing something so boring.

It would be bearable if gore was the core object...",1,1 August 2023
The Japanese Version of the Cube,"This film begins with a man waking up and finding himself in a symmetrical room with an exit hatch on all four walls along with one on the floor and one on the ceiling. After choosing to go through one of the exists leading into a similar room, he accidentally triggers an unseen mechanism which results in square-shaped beams quickly protruding from one side of the room which kill him instantly. Then scene then shifts to another man waking up in a similar cube-shaped room and, after venturing from one room to the next, comes upon two other men and a boy who have found themselves in the same situation. Although none of them have any idea what they are doing in this place, one thing they do know is that some of the rooms they came upon were booby trapped. It's during this time that a female named ""Kai Asako"" (Anne Watanabe) joins them from an adjacent room during which time they all identify themselves. Not long afterward, they come upon an older man named ""Kazumasa Ando"" (Kotaro Yoshida) who initially believes that these 5 people have come to rescue him. Needless to say, he is quite disappointed to learn that they are also looking for a way out of this predicament as well--and the longer they remain in this environment the more hostile some of the people become. Now, rather than reveal any more, I will just say that this remake of the 1997 movie wasn't nearly as good due in large part to some rather bad overacting from some of the cast members. Ironically, although the plot was very similar to the original movie, it did have a twist at the end which I thought was somewhat better. That being said, while I don't consider this movie to be bad by any means, I firmly believe that the original was better, and I have rated this particular picture accordingly. Average.",5,28 January 2023
Easily the worst remake ever,"I have never seen a remake failed this much.

Everything that is great about the original is absent : the music, the tension and most importantly the philosophical conversations between the characters.

All this is replaced by a cheesy subplot that doesnt add anything to the story. Showing life outside the cube completely distroys the concept of the movie.

We don't know much about the characters either so it is difficult to understand the progression and there is zero subtility in the way the story is written and developped.

It's amazing they could make such a bad movie based on this cult classic.",1,11 December 2022
"If your sleeping pills not working, try this film","I dont really remember the first original one, but I started to watch this remake definitely because of the 1st one.... and yes, this is another master piece, master of crap!!! Never knew Japanese actors are so damn bad, or somehow they accidentally recruit all the worst actors in one movie.

I am begging everyone of you to go see your living room floor for 120 mins instead of this master crap.",1,4 August 2022
"Familiar, Yet enjoyable: A Review of the Japanese Adaptation of ""Cube""","If you have seen the first cube movie , this one should feel very familiar. I have to admit - it was still an enjoyable ride. This movie is still different enough to get a kick out of it. It has Japanese themes portrayed, like seniority, childhood drama, childhood vs adulthood. It has mystery elements, lowkey mathematical elements, but most of all interpersonal drama.

Don't expect a big budget and lots of effects. This one plays it safe. If you are a fan of these type of movies (actors trapped in a room e.g. The platform, Coherence, 12 angry men etc) I'd say give it a go.

In conclusion, the Japanese adaptation of ""Cube"" is an enjoyable ride for those who appreciate the original film and are fans of the genre. Although it plays it safe in some respects, the movie is different enough to keep viewers engaged and entertained. If you're a fan of suspenseful, character-driven films, give this one a go.",7,9 April 2023
Boring,"The original is one of my favorite movies. This remake is boring and the traps are just pointless and lacking. There was no need or reason for this movie to have been made.

The characters have no charisma and I did not care for them. Some of the characters aren't pivotal to the story at all. Until certain revelations at the very end.

The twist at the end just didn't work for me.

There was a lack with the characters and I just didn't care for any of them.

It was just uneventful and boring. The traps weren't anything special and I was expecting more.

I highly recommend those who have watched the original not to bother with this movie.",1,3 May 2023
