review_title,review_body,rating,review_date
A painful way to spend your time,,4.0,6 February 2020
"Weakest of The Purge films, but it remains a flawed but fascinating franchise","This fourth installment in the fascinating, but flawed dystopian franchise, does succeed in begin exciting and never boring, but as with the prior films remains a disappointment considering the awesome and frightening premiss. However, in this film's favor, it does fill in some of the logic gaps of the previous films, answering some persistent lingering questions in this prequel of the first ever limited Purge on Staton Island, Are people really so depraved to go on killing rampages one day a year? How could the economy and crime rates improve as a result of a yearly purge? Who would benefit from such an event? Much is explained in this installment. The totalitarian New Founding Fathers need this first purge to be a success, so when the brown and poverty stricken residents of Staten Island don't riot and kill, they send in a Blackwater type of group to make sure there are plenty of killings in hopes of turning citizens against one another. When the leader of the Blackwater group is a dead ringer or Ronny Regan, it's not hard to guess where this film's politics lie and the filmmakers opinion of our current president and his divisive style of politics for personal enrichment (At one point, the heroine refers to one of her attackers as a ""pussy-grabber,"" a pretty direct Trump reference.). As with the other films, this one follows a disparate group of folks trying to survive the 12-hour Purge, primarily an anti-purge activist and a community minded drug kingpin. The downside to this film is similar to the others, in that there is not a lot of character development and despite a strong film concept and story set-up, the film quickly devolves into a series of action set pieces. I found this to be the weakest of the series when it came to action and suspense, but it's likely the strongest when it comes to better fleshing out the politics and the logic behind the purge. I'm also disappointed that the series is straying pretty significantly from it's horror roots in the first film and is more and more becoming an urban action film series. The first two films did an excellent job of conveying the frightening anarchy of the purge (the first film was a straight-up horror home invasion story), but subsequent films has felt more action oriented. I much preferred the uncompromising horror of the first films, which seemed to delve more into the darkness of human nature, even if the logic of the purge was less intelligible. Series creator James DeMonaco is only the writer this time and leaves the directing duties to Gerard McMurray, who does a serviceable job, but this film felt less apocalyptic and less surreal than the prior films, somewhat to it's detriment. After having watched this film and having started watching the 10 episode TV event, I think The Purge series needs to either become more political (which this film did more so) or more focused on simply presenting interesting scenarios and chaos (which the TV show is doing more of), but I keep feeling like there's not enough of either in any of these films.",6.0,1 October 2018
"Had Potential, Falls short",,5.0,4 July 2018
Worst Purge movie out of all of them,"The characters are underdeveloped and the acting is bad, which made me indifferent whether they survived or not. There is no real suspense, only random action scenes. Lastly, the ""scientific layer"" they tried to add, and the stereotypes, are just insulting to the viewer.",3.0,24 July 2021
Really amusing movie.,"I haven't seen the original Purge movies. And because this is a prequel, I just went to see it having 0 expectations. This movie has some GREAT actors (which make you notice some terrible acting from others). Still an amazing concept for a movie and I just really enjoyed it. Heard some negative sounds here and there. But everyone's a critic these days and that probably stops them from turning off your brain and just enjoy a movie. If you haven't seen the others than go see it! It's just good fun.",7.0,4 August 2018
Sigh...what a waste of potential,"It's a dreadful bore, with poor writing, and an incredibly forced depiction of the Black side of this fictional movement. Everything the film tries to start anew feels so out of place and none of it amounts to anything remotely interesting, while everything else feels like a forced tie in product to the other films before it, never directly addressing them, but largely relying on similar setups and situations that the other ones have already dealt with. The acting is incredibly over the top, the screenplay even more so, never knowing what it quite wants to be or wants to say. The direction is harsh, the tone and look of the film bleak, and it never decides on whether it wants to be a trip to empowerment or a social commentary, both of which the film pulls off poorly. The music is forced, the characters thin, and I can't think of many things positive about the film besides potential that the film so poorly executed. In the end, The First Purge is not only a pointless sequel, but a truly lackluster film, with no agenda but to accumulate some more money for this seemingly never ending franchise. My Rating: 2.5/10",1.0,31 January 2021
A Solid if Imperfect Prequel,"Many of these IMDb users are hatin' on this movie simply because they look at that screen and don't see faces/characters/situations that they can relate to. That's fine because that's going to be true for most audiences, but by no means does that make this a bad movie. It just means this movie wasn't made for them.

It was made for people who can relate to the obvious real-life metaphors this film hits on: financial desperation, a scarily-real governmental turn toward autocracy under-girded by racism and exploitation of the urban poor, and the unpredictable spasms of people who REALLY ARE losing it in these tumultuous times.

The plot and story are no less solid than the simplicity of the other films: a menagerie of characters looking to survive the night, with their own agendas, despite structural forces at work against and unknown to them.

Yet, what mass American audience wants to identify with a drug-dealer-turned-urban-Rambo in the main action hero Dmitri (Y'lan Noel)? The catharsis of all movies (but especially dystopian films because of the creepy sub-textual realism) is in getting absorbed emotionally into relatable characters. Most audiences can't relate to Dmitri or Nya (Lex Scott Davis). Those familiar with the hood can; or at least those that can imagine that perspective.

In that sense, The First Purge veers toward Blaxploitation, and it's un-apologetic about it. Yet the sight of Neo-Nazis going door-to-door in legal extermination IS actually terrifying as real-life white supremacists emboldenment across the country is encouraged by autocratic fervor.

As far as dystopian sci-fi goes, we're far closer to that possibility than most audiences want or can imagine. That's part of what makes this film compelling if not technically as slick as the others (which IS admittedly disappointing given a bigger budget than the last).

The last film, Election Year began the politics of the series; with upwards of $80 million gross on a $10 million budget, a politics most audiences had little problem with.

This film is a logical (in a prequel kind of way) next step in the obvious political turn the series took in the last film, only the perspective turns the lens primarily on the plight of the urban poor and criminally enterprising and those in power manipulating things behind the scenes. As for the hood perspective, you're not seeing ""bad acting"" as some users have accused. It's acting and being that doesn't give a s#!% what outsiders of the hood perspective think.

If you want to see credibly-creepy dystopian fair that's all-too-close to home--and if you're willing to identify with life on the other side of the tracks--this movie is worth a look, but don't expect the stylistic slickness of the other films.

The First Purge is very low-fi compared to the others, but that doesn't make it low-worth. Only those who can't wipe away their lenses for a couple of hours would think that of an otherwise solid movie.",7.0,10 August 2018
Awful movie,,1.0,14 July 2018
Go in knowing what you're watching,"It's not a terrible film, but also not a great film. Go in expecting the same as the last two films (not the first film, that was a completely different type of movie)",6.0,4 July 2018
Horrible,,1.0,5 July 2018
Movie was the best of the purge series,"I do not understand why everyone is hating on this movie so much. I believe the writer did a great job in including todays society in this movie. People will do anything they have to now days to make money to support their families, even kill, legal or not. The government does pray on the poor and poverty level in society, and the only people that think differently are the ones privileged enough to never have to go through it.

People are hating on this movie because they believe a certain way about politics these days and do not want to see anything that depicts the real truth. The truth hurts as they say and its hurting a lot of peoples feelings.

This movie is a must see for those who have enjoyed seeing the growth in the films over the years. It is suspenseful and action packed like the other ones have been and has a great story line behind it all. It was definitely worth the money I paid to go see it and I would actually see it again.",8.0,11 July 2018
Decent,,6.0,9 October 2018
Race baiting and politically biased,,1.0,9 July 2018
"Boring, Race-baiting, Dumpster Fire",,1.0,26 March 2019
Political divide,"If you actually think this movie will divide America further ... I've got news for you: that's not possible. Was I surprised how much they packed in, when it comes to political references and hints and messages (not even really hidden ones) to the current state? You better believe that I was. I did think that it might hurt the movie because people do try to escape when watching a movie not really wanting to see something they see on their news channel all day anyway.

But since it was action packed, maybe it could have worked. Seems like it didn't. Some will like it, some will hate it. But it won't convince either side to communicate more with each other. Which just to be clear is not the movies fault! Don't put that on the movie. It still has the premise we ""loved"" in the movie series which will obviously carry over to the TV show. And it works, if you let it and can see past the ""agenda"" or are with it anyway ... The criticism is there and to be honest, it doesn't seem that far fetched or stretched ... especially with some quotes almost being exact to those in real life ...",6.0,18 October 2018
"Horrible, racist garbage",In the movie all white people are bad and black people are incapable of success unless they deal drugs and the rest need to survive on government handouts that are only paid to them if they commit crimes. Racist trash! Just about insulting to everyone. The film makers should be ashamed of themselves. Thankfully there are smart film makers who show many different diverse cast members in movies where they portray successful and inspiring characters,1.0,5 September 2020
Unfairly bashed,"If you like the previous movies (though anarchy was the best and the rest aren't that good), then you'll like this too.",7.0,15 October 2018
Time to purge the purge,This film was embarrassing like a straight to video flick from 2003. There was nothing remotely interesting about it. It was corny and It had outdated racial stereotypes which frankly I found offensive.,1.0,5 June 2020
Not as bad as described in the comments,"First, this is pure fiction. The universe is known and you have to willing to suspense your disbelief. Second, it's leftist and quite manichean (Poor Vs Rich) But like 99,9% of Hollywood production. Diversity is ""good"", white is trash. Third, this is a action packed/dystopian/slasher movie. Don't expect anything else.",7.0,21 September 2018
Absolutely Awful,"Was this movie written for 7 year olds? The plot, from the beginning, was incredibly poor and the storyline development just got worse and worse all the way to the end. ""Make way for the King...""?? Really? The drug dealer who became rich exploiting his own ghetto community is now the King? The hypocrisy of these types of films are so blatant it says a lot about people who enjoy this trash. Do NOT waste your money on this film.",1.0,4 July 2018
My first purge,,8.0,2 October 2018
"Not great, but not bad.",,7.0,20 July 2018
Terrible movie,,1.0,23 August 2021
Absolute Garbage.,"My expectations going into be movie were impeccably low, however, apparently, they were not low enough. Do not go into this movie expecting a thorough back story to the beginnings of the purge. Instead, expect a very short glimpse of the beginnings, which is followed by simply another purge movie, that is just worse. I debated leaving halfway through, but I remembered I payed 6 dollars to watch it, and I went with 2 other people. Please save your money, and don't go or rent this trash.",1.0,11 July 2018
Cheap Fun,"For the record I'm not going to begin this review by defending my score with something like: it's not intended to be clever, well written, e.t.c. I don't believe it's ok to give horror films, like this, a free pass, because they're geared towards a mainstream audience who don't want to indulge in to much social commentary, and would rather mindlessly watch a multitude of characters die gruesome deaths.

With that out of the way... I was pleasantly surprised by The First Purge, to me it felt as if they'd learnt their lesson from their last two installments and decided to go back to basics, a concentrated event that isn't over bloated by showing the audience multiple different Purge scenarios. Therefore, I found it much more entertaining, because it felt like this one had direction, a real message, rather than being a sizzle-reel of murders with plot tied in just to explain how the characters got from one place to another. As always the action was entertaining and creative, so for the most part there isn't really anything to complain about there and where former complaints lied, from the other movies, like choice of music, or stylistic choices were also surprisingly great.

I do have a few complaints: The pacing of this installment is slower than the others, largely because there's the set up of how the Purge began, but it's noticeable enough to be enjoying. I also found the dialogue very unrealistic and it made me cringe many times throughout the film; it's very noticeable that the 'hood' (black) dialogue was written by someone who has no experience with the way black people in tower block communities, and unsurprisingly it was written by someone who isn't black them self. Occasionally, a few characters felt generic, with their goals and background/personality, but it was something that didn't take me out of the experience, so it weren't detrimental, but it was still noticeable. Overall, my complaints this time round felt quite minor and in know severely impacted my experience of the film.

It was a riot of a time from start to end, and that's why I've given The First Purge a 7/10.

Side Note: My opinions of the movie may be exasperated, due to my expectations going in, and my taste in general. However, one things for sure if you like senseless violence, and well choreographed action, I can guarantee you'll at least be satisfied by the price of admission.",7.0,4 July 2018
This is NOT a purge film,"It really is a shame they have ruined these films, by far the worst one they have made. The first 3 are amazing but I wouldn't waste my time or money watching this again. 1 local drug dealer takes on and beats the whole.",2.0,28 September 2019
What we see....,"Those of us outside the US can see that this is a potential reality. I didn't see this and exploitation of the black community at all. It showed their solidarity and community. Y'lan Noel was excellent. Some of the script and directional choices were a little off, but I've seen worse in the blockbuster Avengers types of movies. So what!? This is ridiculous 'torture p**n', so low standards are expected! Haha",7.0,6 October 2018
Not A Good Movie,"I cannot believe how bad this was , I have not seen such a bad effort at writing , directing and acting for a while .

When I start to watch a movie , I will see it through, even if I hate it .

So I feel justified in writing this review.

Wow! Talk about stirring up the racism ! , This was not in any way entertaining , watch it if you must, but it really is awful.",1.0,24 May 2022
Prescient as Idiocracy?,,7.0,8 July 2018
Utterly ridiculous,"I m writing this review while the movie is still on. This is by far the worst Purge movie. Acting, plot, dialogues everything is just horrible. I hope everyone dies at the end, only this would make the movie deserve more than one star :P",1.0,19 August 2019
"I would have given it an 8, but the haters forced my hand.",,10.0,6 July 2018
Nothing new about human race.,"Another film about how vile people can be, to whom everything is allowed. When, instead of creating freedom, they prefer to revel in their antediluvian instincts of the ""mad monkey"" - to destroy, kill, rob, rape. Don't care about life and solve the problem, allowing the killing.",6.0,2 October 2018
